X,Y,OBJECTID,Join_Count,TARGET_FID,Join_Count_1,Incident_No,Time_Begun,UCR_No,HPD_Beat,HPD_District,Offense,Address_Range,Premise_Type,X_Coord,Y_Coord,Zip_Code,Time_Frame,SNB_No,SNB_Name,Council_District,HPD_Division
-95.486276711713501,29.850574228571574,6472,1,6472,1,106488418,2018-08-20T21:00:00.000Z,7001,3B10,3,Auto Theft,6500-6599 W TIDWELL,Commercial Parking Lot or,3082178.03021,13873546.67094,77092,3,5,GREATER INWOOD,C,North Division
-95.296555059317456,29.952207524137229,6473,1,6473,1,112158218,2018-09-02T18:00:00.000Z,6131,22B40,22,Theft,6200-6299 GREENS,Apartment Parking Lot,3141120.59797,13912342.58113,77396,3,42,IAH / AIRPORT AREA,B,North Belt Division
-95.354950654735447,29.703712932585468,6474,1,6474,1,106490618,2018-08-21T10:00:00.000Z,4043,10H60,10,Aggravated Assault,4000-4099 GRIGGS,Apartment,3125452.82063,13821442.30645,77021,3,83,MACGREGOR,D,South Central Division
-95.492389747741385,29.605811153994338,6475,1,6475,1,112163718,2018-09-03T03:00:00.000Z,6141,16E40,16,Theft,15100-15199 FOUR WINDS,Residence or House,3082910.09811,13784524.75148,77489,3,41,FORT BEND HOUSTON,K,Southwest Division
-95.564018752327641,29.667122835999212,6476,1,6476,1,112180118,2018-09-03T09:00:00.000Z,7031,19G50,19,Auto Theft,10400-10499 SOUTH,"Road, Street, or Sidewalk",3059504.4596,13806133.92919,77099,3,25,ALIEF,J,Westside Division
-95.362194802596804,29.861358312147892,6477,1,6477,1,112669318,2018-09-04T09:00:00.000Z,6133,7C40,7,Theft,10300-10399 E HARDY,Other Parking Lot,3121371.39249,13878668.79607,77093,3,46,EASTEX - JENSEN AREA,B,Northeast Division
-95.559126957413156,29.736917152351054,6478,1,6478,1,106147718,2018-08-20T15:15:00.000Z,6073,20G20,20,Theft,10400-10499 WESTHEIMER,Service or Gas Station,3060310.67836,13831547.89243,77042,3,18,BRIAR FOREST,F,Westside Division
-95.519071086454545,29.656135995117499,6479,1,6479,1,112082118,2018-09-03T06:34:00.000Z,10,17E40,17,Murder,8000-8099 COBBLEFIELD,Residence or House,3073891.06761,13802562.64538,77071,3,36,BRAYS OAKS,K,South Gessner Division
-95.558102114026909,29.779792472777032,6480,1,6480,1,104934518,2018-08-15T20:00:00.000Z,6193,20G50,20,Theft,800-899 TOWN AND COUNTRY,"Theatres, Dinner Theaters",3060176.9926,13847141.68382,77024,3,16,MEMORIAL,G,Westside Division
-95.412556023244449,29.77189377364369,6481,1,6481,1,105534918,2018-08-19T02:40:00.000Z,6143,2A50,2,Theft,5100-5199 NETT,"Road, Street, or Sidewalk",3106414.07901,13845658.08783,77007,3,22,WASHINGTON AVENUE COALITION / MEMORIAL PARK,C,Central Division
-95.401489666562853,29.847317813112198,6482,1,6482,1,111824518,2018-09-01T17:30:00.000Z,7001,6B20,6,Auto Theft,5600-5699 PATRICK,Apartment Parking Lot,3109079.3556,13873180.18334,77076,3,45,NORTHSIDE/NORTHLINE,H,North Division
-95.479109505245532,29.7500420584885,6483,1,6483,1,115786818,2018-09-11T17:45:00.000Z,6141,18F30,18,Theft,5700-5799 SAN FELIPE,Apartment Parking Lot,3085549.41476,13837074.08224,77057,2,21,GREATER UPTOWN,G,Midwest Division
-95.575698980869987,29.651683512593738,6484,1,6484,1,112894018,2018-09-05T06:30:00.000Z,4064,19G50,19,Aggravated Assault,11000-11099 RADFORD,Residence or House,3055961.14119,13800413.42555,77099,3,25,ALIEF,F,Westside Division
-95.445267241890633,29.83274356956937,6485,1,6485,1,115072218,2018-09-10T01:17:00.000Z,5041,3B30,3,Burglary,1800-1899 W 43RD,Specialty Store (Non-Spec,3095369.06419,13867458.44805,77018,2,12,CENTRAL NORTHWEST,C,North Division
-95.357144071828571,29.72276104926722,6486,1,6486,1,114757818,2018-09-09T03:00:00.000Z,6131,10H50,10,Theft,3700-3799 TIERWESTER,Apartment Parking Lot,3124541.13297,13828343.73388,77004,2,67,GREATER THIRD WARD,D,South Central Division
-95.553297671199829,29.86742740573473,6487,1,6487,1,114757118,2018-09-06T16:30:00.000Z,7031,5F30,5,Auto Theft,10300-10399 W LITTLE YORK,Sexually Oriented Busines,3060761.3379,13879040.47143,77041,3,3,CARVERDALE,A,Northwest Division
-95.634275634330024,29.735725775521853,6488,1,6488,1,110263218,2018-08-30T00:49:00.000Z,3001,20G80,20,Robbery,13800-13899 WESTHEIMER,Restaurant or Cafeteria P,3036484.70817,13830420.94827,77077,3,17,ELDRIDGE / WEST OAKS,F,Westside Division
-95.515804240602321,29.709748348796673,6489,1,6489,1,115287218,2018-09-09T00:03:00.000Z,6141,18F50,18,Theft,7500-7599 CLAREWOOD,Apartment Parking Lot,3074347.45982,13822079.82872,77036,2,26,SHARPSTOWN,J,Midwest Division
-95.587938260798154,29.703744313152598,6490,1,6490,1,116197718,2018-09-12T19:00:00.000Z,6141,19G20,19,Theft,11900-11999 BELLAIRE,Commercial Parking Lot or,3051523.17735,13819222.49583,77072,2,25,ALIEF,F,Westside Division
-95.526699050895516,29.797043467759664,6491,1,6491,1,113250318,2018-09-05T23:50:00.000Z,3001,4F10,4,Robbery,9500-9599 LONG POINT,Apartment Parking Lot,3069947.98073,13853706.50702,77055,3,10,SPRING BRANCH WEST,A,Northwest Division
-95.47927736921622,29.681394178446414,6492,1,6492,1,116555518,2018-09-10T18:00:00.000Z,6151,15E10,15,Theft,8900-8999 BRAESMONT,Residence or House,3086247.53814,13812121.297,77096,2,31,MEYERLAND AREA,C,Southwest Division
-95.4279102879417,29.812328800783636,6493,1,6493,1,106039818,2018-08-20T10:00:00.000Z,7031,2A60,2,Auto Theft,1500-1599 N LOOP W,Department or Discount St,3101096.30043,13860205.89394,77008,3,15,GREATER HEIGHTS,C,Central Division
-95.376063837454709,29.6475954878434,6494,1,6494,1,112862218,2018-09-01T15:00:00.000Z,5031,14D20,14,Burglary,10300-10399 ROSEHAVEN,Residence or House,3119385.79029,13800838.01727,77051,3,71,SUNNYSIDE,D,Southeast Division
-95.558047968435062,29.767913211332349,6495,1,6495,1,112866718,2018-09-04T15:00:00.000Z,6131,20G50,20,Theft,12700-12799 BOHEME,Apartment Parking Lot,3060321.27598,13842824.32419,77024,3,16,MEMORIAL,G,Westside Division
-95.479066688619753,29.645039566527302,6496,1,6496,1,112853418,2018-09-04T21:00:00.000Z,6141,15E20,15,Theft,12100-12199 STONE EAST,Residence or House,3086712.33035,13798909.81982,77035,3,37,WESTBURY,K,Southwest Division
-95.422516878017973,29.685362148199083,6497,1,6497,1,115058618,2018-09-10T02:50:00.000Z,6151,15E40,15,Theft,3000-3099 MURWORTH,Apartment Parking Lot,3104217.92692,13814110.33941,77025,2,32,BRAESWOOD,K,Southwest Division
-95.557923160607075,29.704483339824236,6498,1,6498,1,106053118,2018-08-20T10:27:00.000Z,6073,20G10,20,Theft,10000-10099 BELLAIRE,Convenience Store,3061039.60674,13819770.28787,77072,3,25,ALIEF,F,Westside Division
-95.392018547070165,29.855916403798894,6499,1,6499,1,115205818,2018-09-07T13:00:00.000Z,6191,6B10,6,Theft,500-599 ELLENA,Residence or House,3111983.90318,13876398.02054,77076,2,45,NORTHSIDE/NORTHLINE,H,North Division
-95.262226664632465,29.839132170383404,6500,1,6500,1,115205318,2018-09-10T12:00:00.000Z,6073,8C30,8,Theft,8500-8599 MESA,Department or Discount St,3153300.2544,13871589.49183,77028,2,49,EAST HOUSTON,B,Northeast Division
-95.437955419676143,29.94612194791846,6501,0,6501,0,116214718,2018-09-12T01:50:00.000Z,6141,22B20,22,Theft,1300-1399 GEARS,Apartment,3096430.65686,13908739.84229,77067,2,,,,
-95.514240310470285,29.838065169527383,6502,1,6502,1,106032218,2018-08-19T03:00:00.000Z,6151,5F30,5,Theft,4600-4699 PINE TIMBERS,Commercial Parking Lot or,3073453.15517,13868734.6168,77041,3,4,FAIRBANKS / NORTHWEST CROSSING,A,Northwest Division
-95.462560377733936,29.648107071133349,6503,1,6503,1,112976218,2018-08-30T12:30:00.000Z,6141,15E30,15,Theft,12300-12399 MAIN ST OB,"Factory, Manufacturing, o",3091919.22535,13800182.92176,77035,3,38,WILLOW MEADOWS / WILLOWBEND AREA,K,Southwest Division
-95.414742338114593,29.779156467538293,6504,1,6504,1,112974618,2018-09-05T11:00:00.000Z,6131,2A50,2,Theft,5200-5299 LARKIN,"Road, Street, or Sidewalk",3105639.86336,13848276.56446,77007,3,22,WASHINGTON AVENUE COALITION / MEMORIAL PARK,C,Central Division
-95.578937126370462,29.784752348431493,6505,1,6505,1,107826818,2018-08-21T17:00:00.000Z,6161,4F30,4,Theft,11100-11199 KATY ,Miscellaneous Business (N,3053517.84438,13848750.6142,77043,3,10,SPRING BRANCH WEST,A,Northwest Division
-95.236509724109268,29.634257370626546,6506,1,6506,1,114774718,2018-09-09T02:27:00.000Z,5041,12D10,12,Burglary,11100-11199 GULF ,Restaurant or Cafeteria,3163846.17294,13797390.21798,77075,2,78,GREATER HOBBY AREA,I,Clear Lake Division
-95.508758935362394,29.851129426926395,6507,1,6507,1,111513718,2018-09-01T19:26:00.000Z,3015,5F30,5,Robbery,13400-13499 NORTHWEST ,"Electronics Store, Electr",3075048.38084,13873535.07185,77040,3,4,FAIRBANKS / NORTHWEST CROSSING,A,Northwest Division
